,0,1
0,v t e European sport club competitions,
1,Football,Men Champions League Europa League Youth League Super Cup Women Champions League Futsal Futsal Cup Beach soccer Euro Winners Cup Women's Euro Winners Cup
2,Basketball,Men EuroLeague EuroCup Champions League FIBA Europe Cup Women EuroLeague EuroCup SuperCup
3,Volleyball,Men Champions League CEV Cup Challenge Cup Women Champions League CEV Cup Challenge Cup
4,Handball,Men Champions League EHF Cup Challenge Cup Women Champions League EHF Cup Challenge Cup
5,Water polo,Men Champions League Euro Cup Super Cup Women Champions Cup Women's LEN Trophy Women's LEN Super Cup
6,Rugby union,Men European Rugby Champions Cup European Rugby Challenge Cup European Rugby Continental Shield
7,Ice hockey,Men Champions Hockey League Continental Cup Women Champions Cup
8,Field hockey,Men Euro Hockey League EuroHockey Club Trophy EuroHockey Club Challenge Women EuroHockey Club Champions Cup EuroHockey Club Champions Trophy EuroHockey Club Champions Challenge EuroHockey Cup Winners Cup
9,Roller hockey,Men European League CERS Cup Continental Cup Women European Cup
10,Table tennis,Men and women Champions League ETTU Cup
11,Badminton,Mixed Europe Cup
12,Baseball,Men European Cup
13,Softball,Men European Cup Club Championship European Cup Winners Cup Club Championship Women European Cup Club Championship European Cup Winners Cup Club Championship Mixed Co-Ed Slowpitch European Super Cup
14,Korfball,Mixed Korfball Europa Cup
15,American football,Men BIG6 European Football League European Football League EFAF Cup EFAF Challenge Cup EFAF Atlantic Cup
16,Athletics,Men and women European Champion Clubs Cup European Champion Clubs Cup Cross Country
17,Chess,Men European Chess Club Cup Women European Chess Club Cup
